2023-10-09 13:30:53.702 INFO  [6596] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:30:53.702 INFO  [6596] [CMQCommSubject::CMQCommSubject@12] CMQCommSubject loadLog: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:30:53.702 INFO  [6596] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:30:53.702 INFO  [6596] [CMQCommBaseClient::BindPort@188] bind localip[127.0.0.1],port[50516]

